forage_id,location,crop,block,sample_time,series_no,forage_initial_drywt_g,forage_final_drywt_g,pct_n,pct_c
255,isu,wpc,2,t8,5,18.4,16.427,2.41,32.9
256,isu,wpc,2,t2,6,18.4,17.626,2.48,44
257,isu,wpc,2,t7,7,18.6,16.555,3.05,35.3
258,isu,wpc,2,t5,8,19,17.289,NA,NA
259,isu,wpc,2,t0,9,18.3,17.683,NA,NA
260,isu,wpc,2,t6,10,18.8,16.751,2.75,36
261,isu,cr,2,t1,1,16.9,16.772999999999996,1.78,43.3
262,isu,cr,2,t6,2,17.299999999999997,13.171,2.41,41.75
263,isu,cr,2,t2,3,19.2,18.733999999999998,2,43.6
264,isu,cr,2,t9,4,16.9,13.668000000000003,1.99,43
265,isu,cr,2,t4,5,20.2,18.049,2.19,42.8
266,isu,cr,2,t7,6,22.499999999999996,16.348,2.79,42.1
267,isu,cr,2,NA,7,20.599999999999998,NA,NA,NA
268,isu,cr,2,t5,8,22.7,18.671999999999997,2.89,42.4
269,isu,cr,2,t3,9,20.599999999999998,18.198999999999998,2.4,43.7
270,isu,cr,2,t0,10,22.499999999999996,22.075,2.12,43.1
271,isu,pcro,2,t0,1,18.2,18.055,4.02,44.2
272,isu,pcro,2,t3,2,17.5,15.697999999999997,3.86,43.2
273,isu,pcro,2,t7,3,17.7,12.157,4.13,36.7
274,isu,pcro,2,t1,4,18.3,NA,NA,NA
275,isu,pcro,2,t4,5,18.8,15.671999999999999,4,43.3
276,isu,pcro,2,t6,6,18.6,14.629999999999997,4.43,39.1
277,isu,pcro,2,t9,7,18.6,14.144999999999998,4.15,37.4
278,isu,pcro,2,t2,8,18.8,18.217,4.17,44.4
279,isu,pcro,2,t5,9,17.6,14.800999999999997,4.38,43.4
280,isu,pcro,2,t8,10,19,11.15,4.66,41.5
281,isu,ar,2,NA,1,19.9,NA,NA,NA
282,isu,ar,2,t3,2,23.099999999999998,21.130999999999997,3.21,43.1
283,isu,ar,2,NA,3,21.4,NA,NA,NA
284,isu,ar,2,t6,4,21.499999999999996,15.848999999999997,3,33.5
285,isu,ar,2,t2,5,21.999999999999996,20.587999999999997,NA,NA
286,isu,ar,2,t1,6,20.9,19.011999999999997,3,34.1
287,isu,ar,2,t9,7,22.299999999999997,15.332999999999998,3.375,36.599999999999994
288,isu,ar,2,t5,8,18.999999999999996,17.476,3.42,41
289,isu,ar,2,t7,9,21.599999999999998,14.454999999999998,3.18,32.5
290,isu,ar,2,NA,10,21.999999999999996,NA,NA,NA
291,isu,gpc,2,t5,1,2.4000000000000004,2.3740000000000006,NA,NA
292,isu,gpc,2,NA,2,2.2,NA,NA,NA
293,isu,gpc,2,t2,3,8.7,8.329,2.41,44.1
294,isu,gpc,2,NA,4,8.900000000000002,NA,NA,NA
295,isu,gpc,2,t3,5,8.2,7.598,2.88,42.4
296,isu,gpc,2,t9,6,9.100000000000001,7.652,2.94,31.4
297,isu,gpc,2,NA,7,9.400000000000002,NA,NA,NA
298,isu,gpc,2,NA,8,3.8,3.0280000000000005,NA,NA
299,isu,gpc,2,t1,9,9.100000000000001,8.794,2.44,43.2
300,isu,gpc,2,t4,10,8.600000000000001,7.680000000000001,2.69,41.6
301,isu,gpc,3,t4,1,14.1,12.074,2.42,42.4
302,isu,gpc,3,t7,2,13.5,10.925,NA,NA
303,isu,gpc,3,t5,3,13.999999999999998,11.478,3.13,42.9
304,isu,gpc,3,t9,4,14.199999999999998,9.527,3.82,44
305,isu,gpc,3,t0,5,13.999999999999998,13.445,NA,NA
306,isu,gpc,3,t6,6,13.999999999999998,10.843,3.23,36.7
307,isu,gpc,3,t3,7,13.6,12.327,2.78,43.9
308,isu,gpc,3,t8,8,13.999999999999998,11.618,2.83,42.6
309,isu,gpc,3,t2,9,14,12.841000000000001,2.75,42.5
310,isu,gpc,3,t1,10,14.399999999999997,13.917999999999997,NA,NA
311,isu,ar,3,t6,1,16.099999999999998,14.299,2.23,34.6
312,isu,ar,3,t4,2,20.9,19.008999999999997,1.91,40
313,isu,ar,3,t8,3,18.999999999999996,16.281999999999996,2.06,36.1
314,isu,ar,3,t2,4,18.4,18.273999999999997,NA,NA
315,isu,ar,3,t7,5,20.9,17.691,2.25,36.6
316,isu,ar,3,t1,6,18.999999999999996,18.921,1.83,41.2
317,isu,ar,3,t0,7,18.099999999999998,18.016,1.81,39.7
318,isu,ar,3,t9,8,18.099999999999998,15.344999999999999,2.3,40.4
319,isu,ar,3,t3,9,20.4,18.926,1.92,41.9
320,isu,ar,3,t5,10,19.8,17.455,2.12,38.6
321,isu,pcro,3,t8,1,18,12.467,4.12,41.1
322,isu,pcro,3,t4,2,18,13.786,3.75,44.1
323,isu,pcro,3,t1,3,18.7,18.823,3.77,45.5
324,isu,pcro,3,t0,4,18.7,18.782,3.63,45.2
325,isu,pcro,3,t3,5,18.6,17.162,4.05,44.9
326,isu,pcro,3,t7,6,18,11.651,3.87,44.5
327,isu,pcro,3,t2,7,17.9,17.428,3.85,45.7
328,isu,pcro,3,t9,8,18.1,13.28,3.75,40.3
329,isu,pcro,3,t6,9,17.9,13.981,4.19,44.8
330,isu,pcro,3,t5,10,18.3,14.925999999999997,3.84,44
331,isu,wpc,3,t2,1,8.6,8.241,NA,NA
332,isu,wpc,3,t7,2,7.9,7.446999999999999,2.26,25.8
333,isu,wpc,3,t3,3,8.1,7.502000000000001,2.99,42.4
334,isu,wpc,3,t1,4,7.1,6.992000000000001,2.68,44.4
335,isu,wpc,3,t0,5,8.1,7.949,2.72,44.1
336,isu,wpc,3,t6,6,8.6,7.829000000000001,2.9,33
337,isu,wpc,3,t5,7,8,6.98,2.89,39.7
338,isu,wpc,3,t9,8,6.5,5.946999999999999,2.6950000000000003,32.349999999999994
339,isu,wpc,3,t8,9,7.4,5.869999999999999,3.25,36.1
340,isu,wpc,3,t4,10,7.699999999999999,6.960000000000001,2.69,41.8
341,isu,cr,3,NA,1,21.3,NA,NA,NA
342,isu,cr,3,t4,2,21.1,17.846,NA,NA
343,isu,cr,3,t3,3,21,18.191,NA,NA
344,isu,cr,3,t1,4,18.4,18.043,NA,NA
345,isu,cr,3,t5,5,18.1,15.835999999999997,NA,NA
346,isu,cr,3,NA,6,20.6,NA,NA,NA
347,isu,cr,3,t7,7,17.7,18.361,NA,NA
348,isu,cr,3,t6,8,18.6,17.792,NA,NA
349,isu,cr,3,t0,9,16.8,16.463,NA,NA
350,isu,cr,3,t2,10,20,19.324,NA,NA
351,isu,pcro,4,t7,1,13.999999999999998,9.738,4.67,41.8
352,isu,pcro,4,t9,2,13.3,9.847,4.88,43.4
353,isu,pcro,4,t1,3,13.1,13.041,4.83,43.9
354,isu,pcro,4,t2,4,13.899999999999997,13.348,5.31,45.1
355,isu,pcro,4,t4,5,13.999999999999998,11.706,4.9,44.5
356,isu,pcro,4,t3,6,13.2,11.047,4.68,44.1
