location,crop,forage_id,tea_id,block,forage_bag_wt_g,forage_initial_drywt_g,staple_weight,sample_time,forage_final_drywt_g,tea_final_drywt_g,tea_initial_drywt_g,forage_pct_n,forage_pct_c,tea_pct_n,tea_pct_c,days
WIU,CR,136,142,3,2.4,15.899999999999999,0.1,t0,15.638000000000002,2.015,2.1,1.965,42.525,3.485,46.825,0
WIU,CR,137,149,3,2.5,15.799999999999999,0.1,t1,15.315,2.276,2.2999999999999998,1.91,43.1,3.37,45.5,4
WIU,CR,138,66,3,2.4,15.899999999999999,0.1,t5,13.407,1.586,2.1,1.82,36.5,4.17,44.7,16
WIU,CR,139,150,3,2.4,16,0.1,t2,15.486999999999998,1.831,2.2000000000000002,2.25,43,3.56,45.7,6
WIU,CR,140,146,3,2.4,16,0.1,t6,12.805,1.279,2,2.51,34.8,2.98,32.1,20
WIU,PCRO,141,122,3,2.4,20.5,0.1,t8,16.324,1.568,2.1,2.89,33.5,3.88,36.1,30
WIU,PCRO,142,127,3,2.5,19,0.1,t9,12.745000000000001,2.08,2.2000000000000002,NA,NA,NA,NA,35
WIU,PCRO,143,129,3,2.4,19.8,0.1,t2,19.309,1.904,2.2000000000000002,2.93,42.1,3.44,43.4,6
WIU,PCRO,144,130,3,2.4,19.6,0.1,t4,15.652000000000001,1.289,2.1,2.93,37.5,2.67,29.5,12
WIU,PCRO,145,NA,3,2.4,19.7,0.1,t5,16.113,2.609,NA,2.83,32.4,NA,NA,16
WIU,PCRO,146,124,3,2.4,19.6,0.1,t6,13.785,1.709,2.1,3.21,36,2.92,32.3,20
WIU,PCRO,147,128,3,2.5,18.299999999999997,0.1,t1,18.316,2.057,2.1,2.88,40,3.49,44.6,4
WIU,PCRO,148,126,3,2.4,19,0.1,t0,18.972,2.014,2.1,4.25,44.9,3.6075,47.375,0
WIU,PCRO,149,123,3,2.4,20,0.1,t3,19.225,1.44,2,NA,NA,2.83,35.7,8
WIU,PCRO,150,NA,3,2.4,5.699999999999999,0.1,t7,4.461,NA,NA,NA,NA,NA,NA,25
WIU,WPC,151,152,4,2.5,19,0.1,t0,18.875,2.152,2.2000000000000002,2.665,43.15,3.97,46.8,0
WIU,WPC,152,153,4,2.5,19.7,0.1,t5,18.058999999999997,1.78,2.1,2.77,35.6,2.96,27.7,16
WIU,WPC,153,155,4,2.4,18.6,0.1,t3,18.584,NA,2.2000000000000002,2.61,42,3.77,37.7,8
WIU,WPC,154,159,4,2.5,19.5,0.1,t9,16.641,1.422,2.2000000000000002,3.04,40.8,3.88,39.3,35
WIU,WPC,155,160,4,2.5,20.299999999999997,0.1,t2,20.055999999999997,1.971,2.2000000000000002,2.88,42.9,3.58,46,6
WIU,WPC,156,158,4,2.4,20,0.1,t1,20.134,1.874,2,3.18,44.3,3.66,46.9,4
WIU,WPC,157,157,4,2.5,18.9,0.1,t6,15.703000000000001,1.585,2.2999999999999998,3.13,43,4.22,43.2,20
WIU,WPC,158,551,4,2.4,20.1,0.1,t7,17.435,1.529,2.2000000000000002,2.83,38.2,NA,NA,25
WIU,WPC,159,151,4,2.5,20.599999999999998,0.1,t4,17.746,1.684,2.1,3.3,42.9,3.68,42.9,12
