location,crop,plot,block,number,bag_no,series_no,tea_id,tea_initial_drywt_g,tea_final_drywt_g,notes
wiu,cr,8,2,NA,64,4,29,NA,1.971,NA
wiu,cr,8,2,NA,68,8,89,NA,1.834,NA
wiu,cr,8,2,NA,70,10,59,NA,1.149,NA
wiu,pcro,9,2,NA,73,3,31,NA,1.7,NA
wiu,pcro,9,2,NA,75,5,69,NA,1.979,NA
wiu,gpc,10,2,NA,81,1,85,NA,2.726,NA
wiu,gpc,10,2,NA,85,5,25,NA,NA,NA
wiu,ar,12,2,NA,94,4,NA,NA,NA,NA
wiu,ar,12,2,NA,97,7,74,NA,2.137,NA
wiu,ar,12,2,NA,100,10,75,NA,1.563,NA
wiu,gpc,13,3,NA,106,6,116,NA,1.763,NA
wiu,wpc,14,3,NA,114,4,NA,NA,NA,NA
wiu,ar,15,3,NA,123,3,NA,NA,NA,NA
wiu,cr,16,3,NA,138,8,66,NA,1.586,NA
wiu,pcro,18,3,NA,150,10,NA,NA,NA,NA
wiu,wpc,20,4,NA,153,3,NA,NA,NA,NA
wiu,ar,21,4,NA,161,1,105,NA,1.61,NA
wiu,ar,21,4,NA,163,3,198,NA,1.985,NA
wiu,ar,21,4,NA,170,10,NA,NA,NA,NA
wiu,gpc,23,4,NA,189,9,NA,NA,NA,NA
wiu,pcro,24,4,NA,191,1,135,NA,1.99,NA
wiu,pcro,24,4,NA,199,9,161,NA,1.396,NA
wiu,pcro,24,4,NA,200,10,61,NA,2.067,NA
isu,ar,106,1,NA,201,1,112,NA,1.217,NA
isu,ar,106,1,NA,202,2,204,NA,1.576,NA
isu,ar,106,1,NA,203,3,207,NA,2.104,NA
isu,ar,106,1,NA,204,4,1.162,NA,NA,NA
isu,ar,106,1,NA,205,5,NA,NA,NA,NA
isu,ar,106,1,NA,206,6,NA,NA,NA,NA
isu,ar,106,1,NA,207,7,202,NA,2.009,NA
isu,ar,106,1,NA,208,8,206,NA,1.209,NA
isu,ar,106,1,NA,209,9,210,NA,1.38,NA
isu,ar,106,1,NA,210,10,203,NA,2.008,NA
isu,gpc,105,1,NA,211,1,220,NA,1.994,NA
isu,gpc,105,1,NA,212,2,215,NA,1.16,NA
isu,gpc,105,1,NA,213,3,214,NA,1.442,NA
isu,gpc,105,1,NA,214,4,218,NA,1.626,NA
isu,gpc,105,1,NA,215,5,213,NA,2.042,NA
isu,gpc,105,1,NA,216,6,212,NA,1.91,NA
isu,gpc,105,1,NA,217,7,216,NA,1.206,NA
isu,gpc,105,1,NA,218,8,217,NA,1.498,NA
isu,gpc,105,1,NA,219,9,209,NA,1.238,NA
isu,gpc,105,1,NA,220,10,219,NA,1.571,NA
isu,wpc,104,1,NA,221,1,226,NA,2.037,NA
isu,wpc,104,1,NA,222,2,225,NA,1.571,NA
isu,wpc,104,1,NA,223,3,1.465,NA,NA,NA
isu,wpc,104,1,NA,224,4,229,NA,1.976,NA
isu,wpc,104,1,NA,225,5,221,NA,1.781,NA
isu,wpc,104,1,NA,226,6,NA,NA,NA,NA
isu,wpc,104,1,NA,227,7,228,NA,1.718,NA
isu,wpc,104,1,NA,228,8,223,NA,2.197,NA
isu,wpc,104,1,NA,229,9,230,NA,1.383,NA
isu,wpc,104,1,NA,230,10,229,NA,1.337,NA
isu,cr,103,1,NA,231,1,236,NA,2.023,NA
isu,cr,103,1,NA,232,2,232,NA,1.249,NA
isu,cr,103,1,NA,233,3,238,NA,1.53,NA
isu,cr,103,1,NA,234,4,237,NA,1.727,NA
isu,cr,103,1,NA,235,5,239,NA,1.162,NA
isu,cr,103,1,NA,236,6,240,NA,1.258,NA
isu,cr,103,1,NA,237,7,239,NA,1.996,NA
isu,cr,103,1,NA,238,8,233,NA,1.248,NA
isu,cr,103,1,NA,239,9,235,NA,1.074,NA
isu,cr,103,1,NA,240,10,231,NA,1.965,NA
isu,pcro,102,1,NA,241,1,NA,NA,NA,NA
isu,pcro,102,1,NA,242,2,296,NA,1.214,NA
isu,pcro,102,1,NA,243,3,248,NA,1.481,NA
isu,pcro,102,1,NA,244,4,244,NA,2.016,NA
isu,pcro,102,1,NA,245,5,249,NA,2.086,NA
isu,pcro,102,1,NA,246,6,247,NA,1.709,NA
isu,pcro,102,1,NA,247,7,245,NA,1.292,NA
isu,pcro,102,1,NA,248,8,242,NA,1.897,NA
isu,pcro,102,1,NA,249,9,293,NA,1.983,NA
isu,pcro,102,1,NA,250,10,NA,NA,NA,NA
isu,wpc,201,2,NA,251,1,251,NA,1.678,NA
isu,wpc,201,2,NA,252,2,253,NA,1.795,NA
isu,wpc,201,2,NA,253,3,250,NA,2.228,NA
isu,wpc,201,2,NA,254,4,NA,NA,1.747,NA
isu,wpc,201,2,NA,255,5,260,NA,2.179,NA
isu,wpc,201,2,NA,256,6,12,NA,2.014,NA
isu,wpc,201,2,NA,257,7,NA,NA,1.983,NA
isu,wpc,201,2,NA,258,8,251,NA,1.903,NA
isu,wpc,201,2,NA,259,9,252,NA,2.399,NA
isu,wpc,201,2,NA,260,10,267,NA,1.637,NA
isu,cr,203,2,NA,261,1,267,NA,2.028,NA
isu,cr,203,2,NA,262,2,261,NA,1.285,NA
isu,cr,203,2,NA,263,3,224,NA,1.941,NA
isu,cr,203,2,NA,264,4,NA,NA,1.345,NA
isu,cr,203,2,NA,265,5,263,NA,1.463,NA
isu,cr,203,2,NA,266,6,NA,NA,1.049,NA
isu,cr,203,2,NA,267,7,NA,NA,NA,NA
isu,cr,203,2,NA,268,8,1,NA,1.27,NA
isu,cr,203,2,NA,269,9,208,NA,1.814,NA
isu,cr,203,2,NA,270,10,265,NA,2.008,NA
isu,pcro,204,2,NA,271,1,NA,NA,NA,NA
isu,pcro,204,2,NA,272,2,280,NA,1.669,NA
isu,pcro,204,2,NA,273,3,272,NA,1.732,NA
isu,pcro,204,2,NA,274,4,271,NA,2.182,NA
isu,pcro,204,2,NA,275,5,276,NA,1.388,NA
isu,pcro,204,2,NA,276,6,219,NA,1.571,NA
isu,pcro,204,2,NA,277,7,275,NA,1.627,NA
isu,pcro,204,2,NA,278,8,277,NA,2.276,NA
isu,pcro,204,2,NA,279,9,273,NA,1.461,NA
isu,pcro,204,2,NA,280,10,278,NA,1.475,NA
isu,ar,205,2,NA,281,1,NA,NA,NA,NA
isu,ar,205,2,NA,282,2,288,NA,1.65,NA
isu,ar,205,2,NA,283,3,NA,NA,NA,NA
isu,ar,205,2,NA,284,4,289,NA,2.317,NA
isu,ar,205,2,NA,285,5,210,NA,1.95,NA
isu,ar,205,2,NA,286,6,282,NA,2.222,NA
isu,ar,205,2,NA,287,7,NA,NA,NA,NA
isu,ar,205,2,NA,288,8,283,NA,1.428,NA
isu,ar,205,2,NA,289,9,287,NA,1.398,NA
isu,ar,205,2,NA,290,10,NA,NA,NA,NA
isu,gpc,206,2,NA,291,1,298,NA,1.498,NA
isu,gpc,206,2,NA,292,2,NA,NA,NA,NA
isu,gpc,206,2,NA,293,3,300,NA,2.078,NA
isu,gpc,206,2,NA,294,4,NA,NA,NA,NA
isu,gpc,206,2,NA,295,5,202,NA,1.746,NA
isu,gpc,206,2,NA,296,6,271,NA,1.758,NA
isu,gpc,206,2,NA,297,7,NA,NA,NA,NA
isu,gpc,206,2,NA,298,8,291,NA,1.632,NA
isu,gpc,206,2,NA,299,9,296,NA,1.966,NA
isu,gpc,206,2,NA,300,10,251,NA,1.626,NA
isu,gpc,306,3,NA,301,1,310,NA,1.589,NA
isu,gpc,306,3,NA,302,2,301,NA,1.253,NA
isu,gpc,306,3,NA,303,3,302,NA,1.231,NA
isu,gpc,306,3,NA,304,4,309,NA,1.252,NA
isu,gpc,306,3,NA,306,6,301,NA,1.498,NA
isu,gpc,306,3,NA,307,7,303,NA,1.68,NA
isu,gpc,306,3,NA,308,8,305,NA,1.314,NA
isu,gpc,306,3,NA,309,9,306,NA,1.873,NA
isu,gpc,306,3,NA,310,10,308,NA,1.917,NA
isu,ar,305,3,NA,311,1,318,NA,1.154,NA
isu,ar,305,3,NA,312,2,312,NA,1.475,NA
isu,ar,305,3,NA,313,3,NA,NA,NA,NA
isu,ar,305,3,NA,314,4,311,NA,1.87,NA
isu,ar,305,3,NA,315,5,217,NA,1.274,NA
isu,ar,305,3,NA,316,6,319,NA,2.049,NA
isu,ar,305,3,NA,317,7,2.085,NA,NA,NA
isu,ar,305,3,NA,318,8,314,NA,1.18,NA
isu,ar,305,3,NA,319,9,320,NA,1.62,NA
isu,ar,305,3,NA,320,10,316,NA,1.419,NA
isu,pcro,304,3,NA,321,1,329,NA,1.497,NA
isu,pcro,304,3,NA,322,2,324,NA,1.506,NA
isu,pcro,304,3,NA,323,3,322,NA,2.023,NA
isu,pcro,304,3,NA,324,4,325,NA,2.141,NA
isu,pcro,304,3,NA,325,5,328,NA,1.489,NA
isu,pcro,304,3,NA,326,6,327,NA,1.214,NA
isu,pcro,304,3,NA,327,7,328,NA,1.985,NA
isu,pcro,304,3,NA,328,8,323,NA,1.619,NA
isu,pcro,304,3,NA,329,9,321,NA,1.388,NA
isu,pcro,304,3,NA,330,10,330,NA,1.463,NA
isu,wpc,303,3,NA,331,1,333,NA,1.995,NA
isu,wpc,303,3,NA,332,2,335,NA,1.696,NA
isu,wpc,303,3,NA,333,3,334,NA,1.63,NA
isu,wpc,303,3,NA,334,4,338,NA,1.975,NA
isu,wpc,303,3,NA,335,5,337,NA,2.107,NA
isu,wpc,303,3,NA,336,6,331,NA,1.743,NA
isu,wpc,303,3,NA,337,7,339,NA,1.568,NA
isu,wpc,303,3,NA,338,8,340,NA,1.446,NA
isu,wpc,303,3,NA,339,9,336,NA,1.36,NA
isu,wpc,303,3,NA,340,10,232,NA,1.708,NA
isu,cr,301,3,NA,341,1,NA,NA,NA,NA
isu,cr,301,3,NA,342,2,347,NA,1.365,NA
isu,cr,301,3,NA,343,3,343,NA,1.338,NA
isu,cr,301,3,NA,344,4,348,NA,1.963,NA
isu,cr,301,3,NA,345,5,341,NA,1.195,NA
isu,cr,301,3,NA,346,6,NA,NA,NA,NA
isu,cr,301,3,NA,347,7,289,NA,1.605,NA
isu,cr,301,3,NA,348,8,345,NA,1.121,NA
isu,cr,301,3,NA,349,9,342,NA,2.028,NA
isu,cr,301,3,NA,350,10,349,NA,1.979,NA
isu,pcro,402,4,NA,351,1,258,NA,1.2,NA
isu,pcro,402,4,NA,352,2,253,NA,1.236,NA
isu,pcro,402,4,NA,353,3,237,NA,1.969,NA
isu,pcro,402,4,NA,354,4,254,NA,1.946,NA
isu,pcro,402,4,NA,355,5,260,NA,1.933,NA
isu,pcro,402,4,NA,356,6,152,NA,1.47,NA
isu,pcro,402,4,NA,357,7,255,NA,1.608,NA
isu,pcro,402,4,NA,358,8,256,NA,1.432,NA
isu,pcro,402,4,NA,359,9,259,NA,2.211,NA
isu,pcro,402,4,NA,360,10,252,NA,1.354,NA
isu,cr,403,4,NA,361,1,262,NA,1.213,NA
isu,cr,403,4,NA,362,2,270,NA,2.064,NA
isu,cr,403,4,NA,363,3,262,NA,1.128,NA
isu,cr,403,4,NA,364,4,263,NA,1.366,NA
isu,cr,403,4,NA,365,5,265,NA,2.003,NA
isu,cr,403,4,NA,366,6,268,NA,1.748,NA
isu,cr,403,4,NA,367,7,364,NA,1.907,NA
isu,cr,403,4,NA,368,8,302,NA,1.238,NA
isu,cr,403,4,NA,369,9,269,NA,1.109,NA
isu,cr,403,4,NA,370,10,261,NA,1.356,NA
isu,wpc,404,4,NA,371,1,280,NA,2.109,NA
isu,wpc,404,4,NA,372,2,277,NA,1.769,NA
isu,wpc,404,4,NA,373,3,276,NA,1.479,NA
isu,wpc,404,4,NA,374,4,274,NA,1.952,NA
isu,wpc,404,4,NA,375,5,272,NA,1.514,NA
isu,wpc,404,4,NA,376,6,278,NA,2.164,NA
isu,wpc,404,4,NA,377,7,273,NA,1.571,NA
isu,wpc,404,4,NA,378,8,271,NA,1.405,NA
isu,wpc,404,4,NA,379,9,275,NA,1.723,NA
isu,wpc,404,4,NA,380,10,287,NA,1.373,NA
isu,gpc,405,4,NA,381,1,281,NA,1.282,NA
isu,gpc,405,4,NA,382,2,285,NA,1.582,NA
isu,gpc,405,4,NA,383,3,286,NA,2.223,NA
isu,gpc,405,4,NA,384,4,284,NA,1.641,NA
isu,gpc,405,4,NA,385,5,NA,NA,NA,NA
isu,gpc,405,4,NA,386,6,282,NA,1.535,NA
isu,gpc,405,4,NA,387,7,287,NA,1.718,NA
isu,gpc,405,4,NA,388,8,286,NA,1.823,NA
isu,gpc,405,4,NA,389,9,283,NA,1.479,NA
isu,gpc,405,4,NA,390,10,290,NA,2.17,NA
isu,ar,406,4,NA,391,1,294,NA,2.099,NA
isu,ar,406,4,NA,392,2,299,NA,1.181,NA
isu,ar,406,4,NA,393,3,217,NA,1.802,NA
isu,ar,406,4,NA,394,4,NA,NA,NA,NA
isu,ar,406,4,NA,395,5,295,NA,1.318,NA
isu,ar,406,4,NA,396,6,271,NA,1.663,NA
isu,ar,406,4,NA,397,7,293,NA,1.75,NA
isu,ar,406,4,NA,398,8,292,NA,1.291,NA
isu,ar,406,4,NA,399,9,298,NA,1.416,NA
isu,ar,406,4,NA,400,10,300,NA,1.664,NA
